Name,Cloudiness,Humidity,Latitude,Temperature,Wind Speed
Somerset,1,77,37.09,58.53,2.86
Sistranda,75,93,63.73,48.2,19.46
Te Anau,64,96,-45.41,35.87,1.81
Lorengau,36,100,-2.02,81.05,4.99
Teguldet,44,54,57.31,76.55,3.53
Katsuura,75,69,33.93,77.0,8.05
Verkhnyaya Sinyachikha,48,84,57.98,55.4,4.38
Tiarei,40,78,-17.53,78.8,4.7
Okha,0,73,53.59,48.2,16.69
Altay,0,20,47.83,67.28,3.27
Bambous Virieux,40,69,-20.34,80.6,14.99
Barrow,92,92,-38.31,49.37,18.3
Cherskiy,0,67,68.75,44.15,7.07
Ambilobe,0,68,-13.19,79.7,4.32
Champerico,90,94,16.38,73.4,2.08
Burnie,92,97,-41.05,58.28,26.64
Oliveira dos Brejinhos,0,92,-12.32,59.99,3.53
Brookhaven,90,87,40.78,56.71,4.7
Tupancireta,48,87,-29.08,39.92,5.06
Alamosa,1,37,37.47,55.4,8.05
Bella Union,48,94,8.5,65.66,1.59
Nouadhibou,0,64,20.93,71.6,14.99
Yumen,36,36,40.29,68.72,6.51
Deputatskiy,0,60,69.3,63.5,5.21
Kushiro,40,72,43.11,64.4,17.22
Comodoro Rivadavia,0,48,-45.87,41.0,12.75
Santa Barbara,1,59,34.42,58.62,22.73
Smirice,0,62,50.3,57.2,1.12
San Vicente,20,94,13.64,75.2,5.82
Yellowknife,75,63,62.45,42.8,5.82
Sobolevo,0,69,54.43,54.77,8.34
Arraial do Cabo,24,100,-22.97,68.45,5.61
Lahij,0,56,13.06,90.41,4.99
Fort Nelson,75,66,58.81,53.6,8.05
Ruteng,88,79,-8.61,80.87,4.99
Cayenne,90,100,4.94,75.2,4.76
Narsaq,92,86,60.91,37.4,3.53
Empalme,0,77,27.96,69.71,3.98
Aneho,20,94,6.23,73.4,5.82
San Jose,80,73,15.79,85.64,3.09
Balabac,12,99,7.99,85.82,16.58
Kapaa,75,78,22.08,76.17,16.11
Abadan,0,22,30.36,99.37,13.87
Breytovo,48,70,58.3,53.15,14.56
Miass,0,76,55.07,53.15,9.86
Khasan,92,62,42.43,70.88,6.55
Nishihara,1,51,35.74,80.1,13.87
Quatre Cocos,40,69,-20.21,80.6,14.99
Longyearbyen,75,64,78.22,39.2,5.82
Chokurdakh,0,95,70.62,35.15,6.62
Atuona,92,100,-9.8,78.17,20.04
Bredasdorp,8,86,-34.53,41.0,2.24
Sunrise Manor,1,9,36.21,87.48,14.99
Bilibino,92,64,68.06,51.8,4.38
Garachine,80,100,8.06,78.98,6.85
Saldanha,88,91,41.42,49.64,2.75
Erenhot,44,39,43.65,70.88,15.68
Verkhnyaya Inta,12,60,65.99,46.4,6.33
Itarema,76,94,-2.92,76.1,8.63
Guerrero Negro,48,100,27.97,59.9,9.91
Grindavik,90,87,63.84,46.4,4.7
Ayagoz,0,22,47.96,84.29,8.52
Haines Junction,56,57,60.75,44.51,2.26
Killybegs,0,83,54.63,58.82,4.83
Chuy,0,100,-33.69,45.5,14.61
Kainantu,100,98,-6.29,66.11,1.81
Jumla,0,70,29.28,53.78,1.7
Pombas,8,87,-15.9,60.26,2.71
Ilulissat,0,65,69.22,46.4,10.29
Bethel,1,48,60.79,64.4,18.34
Albany,20,71,42.65,53.1,2.71
Leningradskiy,8,97,69.38,31.28,10.09
